themeID,themeName,themeDescription,themeSource,themeBaseDate,isActive,isMain,insertTime,updateTime
1,"4G",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:33"
23,"彩票",,1,"2016-01-22",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:33"
27,"传感器",,1,"2016-01-15",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:33"
38,"风电",,1,"2015-01-13",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
40,"复合肥","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
43,"白酒","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
44,"特钢","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
46,"银行","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
50,"饮料",,1,"2016-01-18",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
51,"海参",,1,"2016-01-10",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
53,"航母",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
57,"核电",,1,"2016-01-21",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
66,"黄金","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
67,"火电","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
69,"集装箱",,1,"2016-01-10",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:34"
78,"客车",,1,"2016-01-18",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
79,"空调","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
86,"林业","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
98,"水电","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
99,"饲料","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
110,"天然气",,1,"2016-01-11",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
115,"污水处理",,1,"2016-01-17",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
116,"物流","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
133,"航天军工",,1,"2016-01-11",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
138,"横琴",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
139,"前海",,1,"2016-01-20",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
141,"水利工程","来自申万行业分类",5,"2011-05-28",1,1,"2014-12-10 18:08:34","2016-02-21 09:12:35"
